"","simulation","w/o variance","EB","IE"
"1",0.486819883985608,0.0857323649533717,-0.197553811062192,-0.0140883564885338
"2",0.346651970239735,0.875317111758553,-0.641335340703963,-0.0987774986755075
"3",0.276826331281777,0.0871690728437094,1.32627527011504,-0.306201334629921
"4",0.297436436226098,0.0811979358472697,4.62112404234905,-0.171701773709216
"5",0.260339981260875,0.439883449751328,-2.04640451956875,-0.637251502232637
"6",0.331937734836286,0.549112836167286,-0.343087916841565,-0.126165634316325
"7",0.361767186840995,0.440784799836539,-0.404088942809076,-0.102351939319438
"8",0.298935677926886,0.188972885875722,-0.137047774173702,0.0909725462528185
"9",0.214497041420118,0.13601791332741,0.321581305539612,0.504602373865463
"10",0.202444841979726,0.120808421263556,0.212502185490723,0.0542673856644977
"11",0.238163265306122,0.440457573889004,4.92011237285734,4.5792228954912
"12",0.671845032604526,8.21300641188759,-0.330781161787514,-0.00974778049714567
"13",0.645491494806563,2.0757100197806,-0.304974504261019,-0.0141984605774583
"14",0.628265770743999,0.376170024623073,-0.242121039683119,-0.00930832256695318
"15",0.285551392734973,0.0412234042347658,0.690134743554078,-1.12719488634733
"16",0.237233054781801,0.0194607908263629,0.0560756514183355,0.018189180053216
"17",0.242285237698082,0.0193361367769371,0.252518272575168,0.442854009229138
"18",0.152,0.205704977034384,0.213325166557606,0.214495649728788
"19",0.265589266656503,0.311973726623023,1.8168793181616,-1.06416296193401
"20",0.297160082500397,0.369575537759903,-3.79128673174144,-0.703876658284447
