"","simulation","w/o variance","EB","IE"
"1",4.185,0.299917617392142,3.79177819995104,3.7099032160091
"2",1.121,-2.04158862306328e-05,0.815615343174014,0.210240780836017
"3",4.183,0.0050326174663566,4.19320480555495,3.81491140124942
"4",9.765,7.54933325534475,12.1150404233016,21.5162062259982
"5",6.153,1.00189330118561,5.31860088131726,6.04916640160622
"6",7.832,0.74429827989915,9.35037367324183,9.75951576579734
"7",5.47,0.998608852413033,4.12073132442581,4.87184554276353
"8",5.903,-0.341084410439578,7.2280267822944,6.51403658440832
"9",3.298,0.687050717297199,2.4232783870287,2.8207768338817
"10",6.745,0.720246730954766,7.16334226584966,7.55341594814424
"11",3.947,0.886123915862738,2.73151517939164,3.38305632225278
"12",3.789,0.285821029198784,3.20807724974775,3.10651638273806
"13",1.097,0.263982242576114,0.759606696115591,0.579651285181253
"14",2.841,0.308314538787263,2.29553485329449,2.19253437946805
"15",4.253,0.0679639761566874,4.12618517158719,3.79881077987436
"16",4.55,1.55192949043175,2.91312867665392,4.51916735709532
"17",5.796,-0.389777710624197,6.26711253328239,5.52052565185272
"18",1.628,0.669021203521503,0.901304280587765,1.43760163422438
"19",6.994,2.333199435082,5.97725125444894,8.4062876590783
"20",3.157,-0.164755556559896,3.19291952617826,2.60473611035681
"21",1.877,0.570174772812964,1.25798787579261,1.55813804614264
"22",1.742,0.597326643704963,1.06599502949477,1.41813909767736
"23",2.025,0.617741394308791,1.3198853132262,1.69371980556707
"24",4.801,0.278172572492611,5.01259968571678,4.91641790650398
"25",1.558,0.430407983233747,1.06679476799063,1.14399866932792
"26",1.259,0.377947141150003,0.813611613826795,0.82890213234113
"27",1.398,0.566471287674571,0.890453446049242,1.25380188050721
"28",1.075,-0.0382224028261437,0.77328268001946,0.0739501541752827
"29",4.485,0.555770273400168,3.67389122189618,3.89608098765598
"30",3.883,0.922363301004269,2.79178944385761,3.49949456331254
"31",2.075,0.194906726150706,1.71989454643373,1.41728378923313
"32",2.563,0.358972286781233,2.10985790825619,2.04752769959919
"33",1.329,0.453620813945413,0.810258281910678,0.969078773939584
"34",1.478,0.105678834213896,1.22066114413123,0.767617011773222
"35",1.951,0.943109704319662,0.762799826577025,1.90415462056575
"36",3.807,0.604479934926142,2.92189289402428,3.21194231336717
"37",3.564,0.580909993989713,2.68943306938628,2.93823965225488
"38",4.036,0.20541475566956,3.53918352581494,3.34193046601916
"39",3.766,-2.02985133684131,4.90289220947721,2.89947997992465
"40",4.025,-0.859040008626969,4.18450238334607,3.02733230419342
"41",4.644,-0.474686984074866,4.61703064689102,3.78522780963181
"42",2.937,0.437545714475233,2.31788725505461,2.39811058088745
"43",2.037,0.622456826062448,1.36706505723051,1.74077077449227
"44",1.091,0.215151229417371,0.723229316147383,0.439414415315196
"45",1.387,0.348661655882649,0.929739547664909,0.866168049046409
"46",1.246,0.226638652380011,0.903022184874033,0.645277694004525
"47",1.464,0.257635068344454,1.10993666955654,0.896145512874901
"48",4.038,1.49589242540828,2.1567882675549,3.80351072856817
"49",1.062,0.0757516554433694,0.741512422711311,0.212307040630422
"50",1.32,0.509521662356758,0.80337412886834,1.07499370485288
"51",1.782,0.351984215820027,1.30294377240101,1.22363997233862
"52",4.352,1.62937101291753,2.26587340603228,4.11194311135807
"53",1.795,0.212178660414969,1.41331899104099,1.12514558682018
"54",1.256,0.289392679608959,0.854363062872689,0.70112762531854
"55",3.708,1.16335296349666,2.24496792018189,3.35022373199944
"56",5.683,-1.58227595071383,7.55398421728247,5.77611687813979
"57",2.066,0.414949242445238,1.54937668301293,1.58812514513235
"58",5.736,0.35069238922213,5.46289682377137,5.44242156561259
"59",1.136,0.203237028480609,0.772348733693513,0.481139675886222
"60",4.55,-12.008435118015,10.901172291918,3.94606563620247
"61",2.695,1.06766134308318,1.34499213773249,2.47291171212119
"62",6.729,-3.33903701356288,10.0550574164008,6.90978650515872
"63",1.424,0.335208415437099,0.96937558319217,0.871789519651149
"64",2.009,0.485911290868153,1.42319980481731,1.5596920615133
"65",1.308,-0.0600725660244241,1.0574441006987,0.358850733373032
"66",1.392,0.176539872830061,1.02225358910709,0.672275195018643
"67",5.367,0.191052273282966,4.36147042164043,4.18221380701985
"68",1.336,0.572894610860259,0.74037522702492,1.15829118479018
"69",5.648,1.15592835022762,4.03750353619347,4.9928557804721
"70",2.482,0.386058657564211,1.98101976876007,1.97055319940872
"71",1.35,0.548762869805614,0.757753626164572,1.11956236227668
"72",1.869,0.815832105496024,0.865574793214231,1.70205041157608
"73",1.861,0.723821098725509,1.03330391460979,1.62995782946283
"74",1.138,0.125598963126562,0.825739481097597,0.419707050631726
"75",3.466,0.839128775153135,2.61014963065886,3.19807101526038
"76",5.436,2.04011422690191,3.09021782072077,5.43041500891697
"77",1.59,0.746195279578559,0.739545137684581,1.50263726488974
